City_ID,city,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,upington,ZA,287.55,clear sky,-28.4478,21.2561,River Place Manor
3,mataura,NZ,281.19,overcast clouds,-46.1927,168.8643,Ellie's Villa
4,kaeo,NZ,287.22,light rain,-35.1,173.7833,Bushido Lodge
8,barrow,US,280.16,overcast clouds,71.2906,-156.7887,King Eider Inn
9,bratsk,RU,286.42,scattered clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
17,ancud,CL,283.57,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
20,carnarvon,AU,280.19,clear sky,-24.8667,113.6333,Hospitality Carnarvon
26,chuy,UY,283.02,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
30,cidreira,BR,285.13,clear sky,-30.1811,-50.2056,Hotel Castelo
35,lasa,IT,287.05,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
41,bredasdorp,ZA,287.19,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
46,turukhansk,RU,289.5,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
49,slyudyanka,RU,287.06,overcast clouds,51.6594,103.7061,Delight
52,lavrentiya,RU,280.2,moderate rain,65.5833,-171.0,
55,port alfred,ZA,287.64,scattered clouds,-33.5906,26.891,The Halyards Hotel
57,castro,BR,284.07,clear sky,-24.7911,-50.0119,CHACARA BAILLY
58,lebu,CL,284.64,few clouds,-37.6167,-73.65,Hostal Las Lilas
65,iqaluit,CA,283.54,overcast clouds,63.7506,-68.5145,Frobisher Inn
66,mar del plata,AR,285.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
68,severo-kurilsk,RU,283.82,overcast clouds,50.6789,156.125,Kak Doma
69,shimanovsk,RU,289.7,overcast clouds,52.0,127.7,Гостиница Домашняя
71,ayan,RU,285.09,overcast clouds,56.45,138.1667,Gostinitsa
81,provideniya,RU,284.21,moderate rain,64.3833,-173.3,
92,busselton,AU,285.48,overcast clouds,-33.65,115.3333,Observatory Guest House
93,butka,RU,288.78,light rain,56.7179,63.7866,
100,cape town,ZA,287.1,fog,-33.9258,18.4232,Southern Sun Waterfront Cape Town
102,idritsa,RU,286.38,broken clouds,56.3316,28.8988,Yasnyy Les
105,olavarria,AR,282.15,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
108,kaitangata,NZ,282.55,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
109,tasiilaq,GL,281.24,overcast clouds,65.6145,-37.6368,The Red House
113,liverpool,GB,287.42,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
119,ilulissat,GL,287.16,broken clouds,69.2167,-51.1,Hotel Arctic
120,qaanaaq,GL,280.44,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
127,upernavik,GL,281.59,scattered clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
129,tuatapere,NZ,281.38,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
133,saldanha,ZA,286.88,clear sky,-33.0117,17.9442,Blue Bay Lodge
134,sorland,NO,283.13,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
148,tumut,AU,280.7,overcast clouds,-35.3,148.2167,Amaroo Motel
151,kabansk,RU,289.42,light rain,52.0486,106.6528,Kaylas
152,hendek,TR,289.33,clear sky,40.7994,30.7481,Hendek Ogretmenevi
153,east london,ZA,288.53,broken clouds,-33.0153,27.9116,Tu Casa
158,yar-sale,RU,285.87,overcast clouds,66.8333,70.8333,Yalemd
159,tiksi,RU,283.27,broken clouds,71.6872,128.8694,Arktika
164,hrob,CZ,287.49,scattered clouds,50.6592,13.7268,Chalupa U Studánky
168,san luis,AR,287.63,clear sky,-33.295,-66.3356,Huarpes Hotel
183,esperance,AU,284.23,overcast clouds,-33.8667,121.9,Hospitality Esperance
184,togur,RU,285.89,overcast clouds,58.3631,82.8265,
186,bluff,NZ,281.37,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
187,ape,LV,287.43,overcast clouds,57.5393,26.6929,Jaunvosi
190,kodiak,US,286.88,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
196,nanortalik,GL,280.16,light rain,60.1432,-45.2371,Hotel Kap Farvel
204,wufeng,CN,287.64,clear sky,27.45,104.8333,中山宾馆
208,sovetskiy,RU,288.81,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
209,rafaela,AR,288.18,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
211,northam,GB,288.16,scattered clouds,51.0333,-4.2167,Durrant House Hotel
212,chokurdakh,RU,281.86,broken clouds,70.6333,147.9167,
214,belaya gora,RU,283.84,clear sky,68.5333,146.4167,
216,chapais,CA,289.16,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
224,deputatskiy,RU,280.36,clear sky,69.3,139.9,Baza Otdykha
225,husavik,IS,284.69,broken clouds,66.0449,-17.3389,Bjarnabúð
228,dikson,RU,283.38,broken clouds,73.5069,80.5464,
229,hermanus,ZA,287.48,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
230,beian,NO,284.82,broken clouds,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
232,hofn,IS,285.08,overcast clouds,64.2539,-15.2082,Hótel Höfn
234,saint-francois,FR,288.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
237,mbeya,TZ,283.77,clear sky,-8.9,33.45,Leda Lodge
238,hovd,MN,288.5,clear sky,48.0056,91.6419,Hotel Khovd
239,pangnirtung,CA,281.45,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
249,tigre,AR,286.65,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
250,olafsvik,IS,284.88,light rain,64.8945,-23.7142,Hotel Olafsvik
251,mehamn,NO,281.7,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
255,mount gambier,AU,280.05,broken clouds,-37.8333,140.7667,The Commodore
259,evensk,RU,283.15,clear sky,61.95,159.2333,
261,kruisfontein,ZA,281.97,clear sky,-34.0033,24.7314,Oyster Bay House Rental
262,tilichiki,RU,283.73,broken clouds,60.4667,166.1,
263,kirs,RU,288.49,overcast clouds,59.3388,52.2447,Voyage Inn
269,tornio,FI,284.16,overcast clouds,65.8481,24.1466,Park Hotel Tornio
270,santa maria,BR,284.09,clear sky,-29.6842,-53.8069,Hotel Morotin
276,kazachinskoye,RU,284.2,few clouds,57.6953,93.2761,"Gostinitsa ""Tk Telemaks"""
279,port elizabeth,ZA,283.2,clear sky,-33.918,25.5701,39 On Nile Guest House
280,ostrovnoy,RU,284.16,broken clouds,68.0531,39.5131,
287,thohoyandou,ZA,287.96,few clouds,-22.9456,30.485,Masili Guesthouse & Conference
292,gornopravdinsk,RU,286.48,light rain,60.05,69.9,Burovik
295,kibre mengist,ET,288.7,overcast clouds,5.8833,38.9833,Gunbuur Motel
298,clarence town,AU,288.12,broken clouds,-32.5833,151.7833,River Downs Cottage
299,aksarka,RU,285.23,overcast clouds,66.5606,67.7975,
318,serenje,ZM,284.75,clear sky,-13.2325,30.2352,The Kabaso's
322,skegness,GB,289.31,overcast clouds,53.1436,0.3363,The Royal Hotel
324,margate,GB,289.84,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
343,vannes,FR,289.97,overcast clouds,47.8333,-2.5,Le Bolloch Françoise
350,nadym,RU,285.87,broken clouds,65.5333,72.5167,Apartment on Zvereva
351,la rioja,ES,289.29,scattered clouds,42.25,-2.5,Casa Concejos
355,sistranda,NO,284.76,scattered clouds,63.7256,8.834,Hotell Frøya
357,kiama,AU,288.29,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
358,mumbwa,ZM,287.52,clear sky,-14.9783,27.0619,Mumbwa Motel
362,bukachacha,RU,288.21,overcast clouds,52.9833,116.9167,
366,vuktyl,RU,286.16,scattered clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
368,lyngseidet,NO,281.2,overcast clouds,69.5763,20.2189,Magic Mountain Lodge
370,pareora,NZ,282.14,overcast clouds,-44.4871,171.2132,
389,boguchany,RU,285.56,few clouds,58.3814,97.4531,Uyut
399,geraldton,AU,280.38,clear sky,-28.7667,114.6,Broadwater Mariner Resort
404,port hedland,AU,284.18,few clouds,-20.3167,118.5667,The Esplanade Hotel
412,narsaq,GL,285.27,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
423,megion,RU,287.16,overcast clouds,61.0296,76.1136,Komfort Hotel
434,yate,GB,288.28,overcast clouds,51.5407,-2.4184,The Moda House
439,flinders,AU,288.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
442,maniitsoq,GL,281.5,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
445,sillamae,EE,288.1,overcast clouds,59.3997,27.7547,Hotel Krunk
451,airai,TL,286.19,broken clouds,-8.9266,125.4092,Juvinal Martin
452,ulagan,RU,283.44,clear sky,50.6321,87.9563,Gostevoy Dom
456,kastamonu,TR,288.67,clear sky,41.5,33.6667,
