City_ID,city,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,zhangye,CN,38.9342,100.4517,291.6,61,82,1.18,broken clouds
1,kapaa,US,22.0752,-159.319,303.33,78,1,1.79,clear sky
2,upington,ZA,-28.4478,21.2561,287.55,20,0,4.12,clear sky
3,mataura,NZ,-46.1927,168.8643,281.19,95,100,1.02,overcast clouds
4,kaeo,NZ,-35.1,173.7833,287.22,74,32,8.88,light rain
5,katsuura,JP,35.1333,140.3,302.14,84,42,4.54,scattered clouds
6,galle,LK,6.0367,80.217,299.03,86,100,5.91,overcast clouds
7,butaritari,KI,3.0707,172.7902,301.43,71,35,2.23,scattered clouds
8,barrow,US,71.2906,-156.7887,280.16,81,90,9.26,overcast clouds
9,bratsk,RU,56.1325,101.6142,286.42,91,47,2.44,scattered clouds
10,zlobin,HR,45.2924,14.6541,290.76,75,0,2.06,light rain
11,atuona,PF,-9.8,-139.0333,298.47,76,22,8.5,few clouds
12,hobart,AU,-42.8794,147.3294,279.97,89,75,0.89,broken clouds
13,lagoa,PT,39.05,-27.9833,295.44,91,4,2.1,clear sky
14,sentyabrskiy,,,,,,,,
15,punta arenas,CL,-53.15,-70.9167,277.21,87,40,12.86,light rain
16,aksu,CN,41.1231,80.2644,297.02,32,93,5.74,overcast clouds
17,ancud,CL,-41.8697,-73.8203,283.57,98,100,1.61,overcast clouds
18,marcona,,,,,,,,
19,pisco,PE,-13.7,-76.2167,292.18,72,0,3.6,clear sky
20,carnarvon,AU,-24.8667,113.6333,280.19,47,0,5.14,clear sky
21,cabo san lucas,MX,22.8909,-109.9124,310.66,49,40,7.2,scattered clouds
22,bengkulu,ID,-3.8004,102.2655,297.01,89,47,1.57,scattered clouds
23,shimoda,JP,34.6667,138.95,301.21,84,97,3.1,overcast clouds
24,ribeira grande,PT,38.5167,-28.7,296.1,92,48,3.31,scattered clouds
25,albany,US,42.6001,-73.9662,297.95,49,13,4.99,few clouds
